id,Nobody Cancels (%),Flip a Coin (%),Stepwise Regression (%),Random Forest (%)
A00958,0,50,0.2299999999999999,42.4
A00959,0,50,1.13,37.830000000000005
A00960,0,50,0.8,37.830000000000005
A00966,0,50,0.24,42.4
A00968,0,50,0.77,37.830000000000005
A00971,0,50,0.77,37.56
A00972,0,50,0.49,37.830000000000005
A00973,0,50,0.77,37.830000000000005
A00976,0,50,1.1900000000000002,37.830000000000005
A00977,0,50,0.77,37.830000000000005
A00978,0,50,0.79,37.830000000000005
A00979,0,50,0.79,37.830000000000005
A00981,0,50,0.79,37.830000000000005
A00982,0,50,0.79,37.830000000000005
A00983,0,50,0.79,37.56
A00985,0,50,0.24,42.4
A00986,0,50,1.1900000000000002,36.85
A00987,0,50,0.79,37.830000000000005
A00988,0,50,1.1900000000000002,37.830000000000005
A00989,0,50,1.1900000000000002,37.830000000000005
A00991,0,50,0.8,37.830000000000005
A00992,0,50,0.8,37.830000000000005
A00993,0,50,0.8,37.830000000000005
A00994,0,50,0.27,41.959999999999994
A00999,0,50,0.8,37.830000000000005
A01000,0,50,0.8,37.56
A01001,0,50,2.1,37.830000000000005
A01004,0,50,0.25,42.4
A01005,0,50,1.2,37.830000000000005
A01006,0,50,0.26,42.4
A01007,0,50,1.2,36.85
A01010,0,50,0.8,37.830000000000005
A01012,0,50,1.2,37.12
A01013,0,50,0.8,37.56
A01014,0,50,1.2,37.830000000000005
A01015,0,50,1.2,37.830000000000005
A01016,0,50,0.25,42.67
A01017,0,50,0.25,42.67
A01022,0,50,0.25,42.4
A01023,0,50,0.25,42.67
A01024,0,50,2.16,37.830000000000005
A01025,0,50,2.16,37.830000000000005
A01029,0,50,0.84,37.830000000000005
A01031,0,50,1.26,37.830000000000005
A01033,0,50,1.26,37.830000000000005
A01036,0,50,1.27,37.12
A01039,0,50,1.27,37.830000000000005
A01043,0,50,0.8699999999999999,37.830000000000005
A01045,0,50,0.27,42.67
A01048,0,50,1.3,37.830000000000005
A01049,0,50,0.27,42.67
A01050,0,50,1.3,37.830000000000005
A01052,0,50,0.54,37.830000000000005
A01054,0,50,1.3,37.830000000000005
A01055,0,50,0.2799999999999999,42.67
A01058,0,50,2.3,37.830000000000005
A01061,0,50,0.54,37.56
A01062,0,50,0.93,37.830000000000005
A01063,0,50,1.36,37.830000000000005
A01065,0,50,0.27,42.67
A01067,0,50,1.34,37.12
A01069,0,50,0.89,37.830000000000005
A01071,0,50,2.07,36.85
A01073,0,50,0.5499999999999999,37.56
A01074,0,50,1.34,37.830000000000005
A01077,0,50,1.44,37.830000000000005
A01078,0,50,0.91,37.56
A01079,0,50,1.34,36.85
A01081,0,50,0.67,37.830000000000005
A01083,0,50,0.5599999999999999,37.56
A01088,0,50,0.2799999999999999,42.67
A01089,0,50,1.38,37.830000000000005
A01090,0,50,0.5599999999999999,37.830000000000005
A01091,0,50,1.35,37.830000000000005
A01093,0,50,0.5700000000000001,37.830000000000005
A01097,0,50,0.3,42.67
A01100,0,50,1.39,37.12
A01102,0,50,0.61,37.830000000000005
A01106,0,50,1.38,37.56
A01107,0,50,0.5700000000000001,37.56
A01110,0,50,1.38,37.830000000000005
A01111,0,50,1.38,37.830000000000005
A01112,0,50,0.5700000000000001,37.830000000000005
A01113,0,50,0.5700000000000001,37.830000000000005
A01114,0,50,0.6,37.830000000000005
A01116,0,50,0.5700000000000001,37.830000000000005
A01117,0,50,0.29,42.67
A01119,0,50,0.93,37.830000000000005
A01120,0,50,0.3,42.67
A01121,0,50,1.38,37.830000000000005
A01124,0,50,0.2799999999999999,42.67
A01125,0,50,1.38,37.12
A01126,0,50,0.2799999999999999,42.67
A01127,0,50,0.29,42.67
A01129,0,50,0.6,37.56
A01132,0,50,0.5700000000000001,37.830000000000005
A01134,0,50,1.39,37.830000000000005
A01135,0,50,1.39,36.85
A01137,0,50,0.33,41.959999999999994
A01140,0,50,0.92,37.830000000000005
A01141,0,50,0.29,42.67
A01142,0,50,0.92,37.830000000000005
A01150,0,50,0.59,37.830000000000005
A01152,0,50,1.39,37.830000000000005
A01153,0,50,0.5700000000000001,37.830000000000005
A01154,0,50,0.29,42.67
A01155,0,50,0.29,42.67
A01156,0,50,1.39,37.12
A01157,0,50,0.3,42.67
A01160,0,50,0.93,37.830000000000005
A01161,0,50,0.29,42.67
A01165,0,50,0.29,42.67
A01168,0,50,1.39,37.12
A01169,0,50,1.39,36.85
A01170,0,50,0.6,37.830000000000005
A01171,0,50,0.61,37.56
A01172,0,50,1.39,37.830000000000005
A01177,0,50,0.97,37.12
A01178,0,50,1.41,37.12
A01180,0,50,2.49,37.830000000000005
A01181,0,50,0.97,37.830000000000005
A01187,0,50,1.41,36.85
A01188,0,50,0.29,42.67
A01192,0,50,1.4200000000000002,37.830000000000005
A01194,0,50,2.5,37.830000000000005
A01196,0,50,1.44,37.12
A01199,0,50,2.51,37.56
A01200,0,50,0.97,37.830000000000005
A01201,0,50,0.63,37.56
A01202,0,50,0.62,37.56
A01203,0,50,1.47,37.830000000000005
A01204,0,50,0.3,42.67
A01206,0,50,1.47,37.830000000000005
A01207,0,50,1.48,37.830000000000005
A01208,0,50,0.65,37.830000000000005
A01209,0,50,1.48,37.830000000000005
A01210,0,50,1.48,37.830000000000005
A01211,0,50,0.31,42.4
A01213,0,50,0.99,37.56
A01214,0,50,0.33,41.69
A01216,0,50,0.99,37.830000000000005
A01218,0,50,1.01,37.56
A01219,0,50,0.3399999999999999,41.959999999999994
A01221,0,50,1.02,37.830000000000005
A01222,0,50,0.32,42.67
A01223,0,50,1.02,37.830000000000005
A01224,0,50,0.32,42.67
A01226,0,50,1.02,37.830000000000005
A01227,0,50,0.33,42.67
A01229,0,50,1.02,37.830000000000005
A01231,0,50,1.02,37.830000000000005
A01232,0,50,1.58,37.12
A01233,0,50,1.54,37.830000000000005
A01234,0,50,0.33,42.67
A01235,0,50,0.32,42.4
A01236,0,50,2.68,37.56
A01237,0,50,0.32,42.67
A01238,0,50,1.54,37.12
A01239,0,50,2.69,37.830000000000005
A01240,0,50,1.54,37.12
A01241,0,50,0.32,42.67
A01242,0,50,1.05,37.830000000000005
A01243,0,50,1.5699999999999998,37.12
A01244,0,50,0.33,42.67
A01248,0,50,0.33,42.67
A01249,0,50,0.33,42.67
A01250,0,50,2.78,37.56
A01252,0,50,1.58,37.12
A01253,0,50,0.33,42.67
A01257,0,50,2.0,37.12
A01259,0,50,1.58,37.830000000000005
A01260,0,50,2.76,37.830000000000005
A01262,0,50,1.09,37.12
A01263,0,50,1.08,37.56
A01264,0,50,1.62,37.56
A01266,0,50,2.78,37.830000000000005
A01269,0,50,0.74,37.830000000000005
A01270,0,50,2.81,37.830000000000005
A01271,0,50,1.62,37.830000000000005
A01272,0,50,0.7000000000000001,37.830000000000005
A01276,0,50,0.3399999999999999,42.67
A01277,0,50,1.64,37.12
A01279,0,50,1.7999999999999998,37.56
A01280,0,50,0.36,42.67
A01283,0,50,1.68,37.56
A01288,0,50,2.93,37.830000000000005
A01291,0,50,0.37,41.959999999999994
A01292,0,50,1.13,37.830000000000005
A01293,0,50,1.72,37.830000000000005
A01294,0,50,1.92,37.830000000000005
A01298,0,50,1.69,36.85
A01299,0,50,0.35,42.67
A01301,0,50,0.01,34.18
A01302,0,50,0.36,42.67
A01303,0,50,0.74,37.830000000000005
A01306,0,50,1.2,37.12
A01307,0,50,1.72,37.830000000000005
A01309,0,50,0.36,42.67
A01311,0,50,1.7500000000000002,37.830000000000005
A01312,0,50,1.7399999999999998,37.12
A01317,0,50,1.78,37.12
A01318,0,50,1.83,37.830000000000005
A01319,0,50,1.83,37.830000000000005
A01320,0,50,3.1,37.830000000000005
A01321,0,50,1.78,37.830000000000005
A01322,0,50,1.78,37.830000000000005
A01323,0,50,1.78,37.830000000000005
A01325,0,50,1.78,37.830000000000005
A01328,0,50,0.74,37.830000000000005
A01330,0,50,0.37,42.67
A01332,0,50,1.79,36.85
A01333,0,50,1.83,37.56
A01335,0,50,1.79,37.830000000000005
A01337,0,50,1.79,37.830000000000005
A01338,0,50,1.24,36.85
A01339,0,50,0.4,42.67
A01341,0,50,1.7999999999999998,37.830000000000005
A01342,0,50,3.14,37.830000000000005
A01344,0,50,0.4,41.959999999999994
A01345,0,50,3.14,37.830000000000005
A01348,0,50,0.8,37.830000000000005
A01354,0,50,0.75,36.85
A01356,0,50,2.2,37.830000000000005
A01358,0,50,1.2,37.830000000000005
A01359,0,50,1.7999999999999998,37.830000000000005
A01360,0,50,1.38,36.85
A01361,0,50,1.83,37.56
A01362,0,50,1.83,37.56
A01366,0,50,1.86,37.830000000000005
A01367,0,50,0.79,37.56
A01369,0,50,3.24,37.830000000000005
A01370,0,50,2.03,37.12
A01372,0,50,1.86,37.12
A01373,0,50,1.94,37.56
A01374,0,50,1.28,37.830000000000005
A01376,0,50,0.4,42.67
A01378,0,50,1.88,36.85
A01382,0,50,0.3899999999999999,42.67
A01384,0,50,2.07,36.85
A01387,0,50,1.91,37.12
A01389,0,50,0.41,42.67
A01390,0,50,0.3899999999999999,42.4
A01391,0,50,0.4,42.67
A01392,0,50,1.92,37.830000000000005
A01393,0,50,1.28,37.830000000000005
A01394,0,50,1.91,37.830000000000005
A01395,0,50,0.42,42.4
A01396,0,50,2.53,37.830000000000005
A01397,0,50,0.4,42.4
A01398,0,50,1.92,37.56
A01400,0,50,1.92,37.56
A01401,0,50,3.34,37.830000000000005
A01403,0,50,1.92,37.830000000000005
A01405,0,50,0.4,42.4
A01409,0,50,0.79,37.830000000000005
A01412,0,50,1.92,37.830000000000005
A01413,0,50,1.39,37.830000000000005
