id,log_annual_fees,log_annual_income,occupation_cd,age_at_issue,additional_members,status,start_year,duration,term_years_12,term_years_17,term_years_22,term_years_27,term_years_32,term_years_<50,term_years_>50,marital_status_M,marital_status_S,marital_status_UNKNOWN,gender_F,gender_M,package_TYPE-A,package_TYPE-B,payment_mode_ANNUAL,payment_mode_MONTHLY,payment_mode_QUARTERLY,payment_mode_SEMI-ANNUAL
A00015,11.512925464970229,15.943742263813542,1,39,3,INFORCE,2007,6.67945205479452,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,1,0
A00016,13.304684934198283,14.369395671190713,1,36,1,INFORCE,2007,6.67945205479452,1,0,0,0,0,0,0,1,0,0,0,1,0,1,1,0,0,0
A00017,12.206072645530174,16.99356438831222,1,39,2,INFORCE,2007,6.610958904109589,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,1,0
A00018,12.206072645530174,14.739769459487606,1,35,0,CANCELLED,2007,1.167123287671233,1,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,1,0
A00019,12.206072645530174,15.999312114968353,1,29,3,CANCELLED,2007,1.167123287671233,1,0,0,0,0,0,0,1,0,0,0,1,0,1,1,0,0,0
A00020,11.512933464938229,15.432916640047551,1,28,0,CANCELLED,2007,0.3315068493150685,1,0,0,0,0,0,0,0,1,0,0,1,0,1,0,1,0,0
A00021,11.918390573078392,13.304684934198283,1,27,0,INFORCE,2007,6.536986301369863,1,0,0,0,0,0,0,0,1,0,0,1,0,1,1,0,0,0
A00022,11.512925464970229,12.206092645330177,1,25,0,INFORCE,2007,6.512328767123288,1,0,0,0,0,0,0,0,1,0,0,1,0,1,1,0,0,0
A00023,11.512925464970229,13.487006490992238,1,38,2,INFORCE,2007,6.468493150684932,0,0,0,0,0,1,0,1,0,0,0,1,0,1,1,0,0,0
A00024,11.512925464970229,11.813740915811971,1,39,1,INFORCE,2007,6.441095890410959,1,0,0,0,0,0,0,1,0,0,1,0,0,1,1,0,0,0
A00025,11.736069016284436,13.081541382884074,1,29,2,INFORCE,2007,6.435616438356164,1,0,0,0,0,0,0,1,0,0,0,1,0,1,1,0,0,0
A00026,11.512925464970229,12.89920982604012,1,22,3,INFORCE,2007,6.4301369863013695,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1
A00027,12.206072645530174,12.206092645330177,1,22,0,INFORCE,2007,6.3780821917808215,1,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,1
A00028,11.512925464970229,12.793859310432293,1,59,3,INFORCE,2007,6.402739726027397,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1
A00030,11.512925464970229,14.346141161964852,1,25,0,CANCELLED,2007,0.4164383561643835,1,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,1,0
A00031,11.512925464970229,12.4090298159242,1,44,1,INFORCE,2007,6.4301369863013695,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,1,0
A00032,12.206072645530174,14.300452059574218,1,45,3,CANCELLED,2007,1.6356164383561644,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1
A00033,13.122363377404328,14.22097566607244,1,46,3,INFORCE,2007,6.276712328767124,1,0,0,0,0,0,0,1,0,0,0,1,0,1,1,0,0,0
A00034,11.512925464970229,14.22097566607244,1,46,3,INFORCE,2007,6.276712328767124,1,0,0,0,0,0,0,1,0,0,0,1,0,1,1,0,0,0
A00035,11.512925464970229,12.429200196716382,1,28,0,CANCELLED,2007,1.158904109589041,1,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,1
A00036,11.512925464970229,12.76569986197172,1,26,0,CANCELLED,2007,0.915068493150685,0,0,0,0,0,1,0,0,1,0,0,1,0,1,0,0,1,0
A00039,11.512925464970229,12.206092645330177,1,34,3,INFORCE,2007,6.279452054794521,1,0,0,0,0,0,0,1,0,0,0,1,0,1,1,0,0,0
A00041,13.122373297355129,12.89920982604012,1,29,2,INFORCE,2007,6.227397260273973,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,1,0,0
A00042,11.512925464970229,14.403297222866392,1,42,0,INFORCE,2007,6.164383561643835,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,1
A00044,12.509900298780636,16.300417207752275,1,51,3,CANCELLED,2007,3.084931506849315,1,0,0,0,0,0,0,1,0,0,0,1,1,0,1,0,0,0
A00046,11.512925464970229,13.304684934198283,1,28,3,CANCELLED,2007,0.6575342465753424,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1
A00047,12.429199716708586,12.785491060761776,1,30,2,CANCELLED,2007,1.915068493150685,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0,1,0,0
A00048,11.512925464970229,12.404218337671011,1,35,2,INFORCE,2007,6.1506849315068495,0,1,0,0,0,0,0,1,0,0,0,1,0,1,1,0,0,0
A00049,11.512925464970229,12.76569986197172,1,35,2,INFORCE,2007,6.18082191780822,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1
A00050,11.512925464970229,12.89920982604012,1,33,1,INFORCE,2007,6.161643835616438,1,0,0,0,0,0,0,1,0,0,0,1,0,1,1,0,0,0
A00051,11.918390573078392,13.895544650216085,1,47,3,INFORCE,2007,6.18082191780822,1,0,0,0,0,0,0,1,0,0,0,1,0,1,1,0,0,0
A00052,11.512925464970229,14.403297222866392,1,42,0,INFORCE,2007,6.164383561643835,0,1,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,1
A00053,11.512925464970229,13.815506557956274,1,38,3,CANCELLED,2007,3.665753424657534,0,0,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,1
A00055,12.206072645530174,13.597354548161103,1,28,0,INFORCE,2007,6.18082191780822,1,0,0,0,0,0,0,0,1,0,0,1,0,1,1,0,0,0
A00056,11.695246021763683,12.611537753638338,1,56,3,INFORCE,2007,6.027397260273973,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0,1,0,0
A00057,11.512925464970229,12.89920982604012,0,28,0,CANCELLED,2007,1.167123287671233,1,0,0,0,0,0,0,0,1,0,0,1,0,1,1,0,0,0
A00059,11.512925464970229,14.557447902693651,0,57,3,INFORCE,2007,6.090410958904109,0,1,0,0,0,0,0,1,0,0,0,1,0,1,1,0,0,0
A00060,12.100720129840347,12.847937057962955,1,39,2,INFORCE,2007,6.090410958904109,0,0,0,0,0,1,0,1,0,0,0,1,0,1,0,1,0,0
A00062,11.512925464970229,13.815506557956274,1,34,1,INFORCE,2007,6.090410958904109,0,1,0,0,0,0,0,1,0,0,0,1,0,1,1,0,0,0
A00064,11.512925464970229,13.527988472713858,1,37,2,INFORCE,2007,6.093150684931507,0,0,0,1,0,0,0,1,0,0,0,1,0,1,1,0,0,0
A00066,11.512925464970229,13.527828485512494,1,44,1,INFORCE,2007,6.090410958904109,0,1,0,0,0,0,0,1,0,0,0,1,0,1,1,0,0,0
A00067,11.512925464970229,12.89920982604012,1,34,3,INFORCE,2007,6.076712328767123,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,1,0
A00068,11.695255021732184,13.025843666411983,1,25,0,INFORCE,2007,6.090410958904109,1,0,0,0,0,0,0,0,1,0,0,1,0,1,0,1,0,0
A00069,11.512925464970229,11.590219783896478,1,34,2,CANCELLED,2007,3.1671232876712327,0,1,0,0,0,0,0,1,0,0,0,1,0,1,1,0,0,0
A00070,12.206072645530174,13.304684934198283,1,43,1,CANCELLED,2007,1.167123287671233,0,1,0,0,0,0,0,1,0,0,0,1,0,1,1,0,0,0
A00071,11.736069016284436,13.815506557956274,1,48,3,INFORCE,2007,6.052054794520548,0,1,0,0,0,0,0,1,0,0,0,1,0,1,1,0,0,0
A00073,11.546118432325992,14.73179968983715,1,28,0,INFORCE,2007,6.016438356164383,0,0,0,0,0,1,0,0,1,0,0,1,0,1,1,0,0,0
A00074,11.918390573078392,12.611537753638338,0,23,0,INFORCE,2007,6.010958904109589,1,0,0,0,0,0,0,0,1,0,0,1,0,1,1,0,0,0
A00075,11.512925464970229,12.14740485786433,1,45,2,INFORCE,2007,6.035616438356165,1,0,0,0,0,0,0,1,0,0,0,1,0,1,1,0,0,0
A00076,11.552136178073509,15.096444403426338,0,57,2,CANCELLED,2008,3.1671232876712327,0,1,0,0,0,0,0,1,0,0,0,1,0,1,1,0,0,0
A00078,12.43320821811392,12.793859310432293,1,34,2,CANCELLED,2007,2.164383561643836,0,1,0,0,0,0,0,1,0,0,0,1,0,1,1,0,0,0
A00081,12.206072645530174,13.038973072775295,1,56,2,CANCELLED,2007,3.1671232876712327,0,1,0,0,0,0,0,1,0,0,1,0,0,1,1,0,0,0
A00083,11.512925464970229,12.89920982604012,1,38,3,INFORCE,2007,6.008219178082192,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,1
A00084,11.918390573078392,13.017002861746503,1,30,3,INFORCE,2007,6.013698630136986,1,0,0,0,0,0,0,1,0,0,0,1,0,1,1,0,0,0
A00086,11.512925464970229,12.388394202324127,1,25,0,CANCELLED,2007,2.6575342465753424,0,0,0,1,0,0,0,0,1,0,0,1,0,1,0,0,0,1
A00087,11.736069016284436,13.122371377372328,0,37,3,CANCELLED,2007,1.1616438356164382,1,0,0,0,0,0,0,1,0,0,0,1,0,1,1,0,0,0
A00091,11.512925464970229,13.304684934198283,1,50,3,INFORCE,2007,5.923287671232877,0,1,0,0,0,0,0,1,0,0,0,1,0,1,1,0,0,0
A00094,11.512925464970229,12.691568153543829,1,57,2,CANCELLED,2007,1.158904109589041,0,1,0,0,0,0,0,1,0,0,0,1,0,1,1,0,0,0
A00095,11.512925464970229,14.038657309273365,0,36,1,CANCELLED,2007,1.167123287671233,0,0,0,1,0,0,0,1,0,0,0,1,0,1,1,0,0,0
A00098,11.695246021763683,13.017002861746503,1,24,0,CANCELLED,2007,0.3287671232876712,1,0,0,0,0,0,0,0,1,0,0,1,0,1,0,1,0,0
A00099,11.56171562913966,13.304684934198283,1,26,0,INFORCE,2007,5.956164383561644,1,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,1
A00100,11.512925464970229,11.918390573078392,1,55,2,INFORCE,2007,5.923287671232877,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1
A00101,13.864300722133706,14.48333993053993,1,45,1,CANCELLED,2007,1.158904109589041,1,0,0,0,0,0,0,1,0,0,0,1,0,1,1,0,0,0
A00102,13.017002861746503,14.48333993053993,1,45,1,CANCELLED,2007,1.158904109589041,0,1,0,0,0,0,0,1,0,0,0,1,0,1,1,0,0,0
A00103,11.918390573078392,12.691568153543829,1,43,0,CANCELLED,2007,1.158904109589041,1,0,0,0,0,0,0,0,1,0,1,0,0,1,1,0,0,0
A00105,11.512925464970229,11.73610101577245,1,47,3,INFORCE,2007,5.923287671232877,1,0,0,0,0,0,0,1,0,0,1,0,0,1,1,0,0,0
A00107,11.512925464970229,14.018232602515909,1,33,1,INFORCE,2007,5.923287671232877,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,1
A00108,11.522875795823396,13.815506557956274,0,22,0,INFORCE,2007,5.934246575342466,0,1,0,0,0,0,0,0,1,0,0,1,0,1,1,0,0,0
A00109,11.512925464970229,12.89920982604012,1,25,3,INFORCE,2007,5.934246575342466,1,0,0,0,0,0,0,1,0,0,0,1,0,1,1,0,0,0
A00110,11.512925464970229,12.89920982604012,1,36,2,INFORCE,2007,5.934246575342466,0,1,0,0,0,0,0,1,0,0,0,1,0,1,1,0,0,0
A00114,12.206062645480174,13.304684934198283,1,34,2,INFORCE,2007,5.923287671232877,0,0,0,0,0,0,1,1,0,0,0,1,0,1,0,0,0,1
A00115,11.512925464970229,13.4588298997235,1,43,2,INFORCE,2007,5.923287671232877,0,0,0,0,0,1,0,1,0,0,0,1,0,1,1,0,0,0
A00117,11.512925464970229,13.710150042306449,1,25,0,INFORCE,2007,5.923287671232877,0,1,0,0,0,0,0,0,1,0,0,1,0,1,1,0,0,0
A00118,11.918390573078392,12.206092645330177,1,27,0,INFORCE,2007,5.923287671232877,1,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,1
A00119,11.512925464970229,15.662464402459484,0,57,2,CANCELLED,2008,3.1671232876712327,0,1,0,0,0,0,0,1,0,0,0,1,0,1,1,0,0,0
A00120,12.206072645530174,14.50865973852222,1,52,0,INFORCE,2007,5.923287671232877,0,0,0,0,1,0,0,0,1,0,1,0,0,1,1,0,0,0
A00121,11.522875795823396,13.081541382884074,1,29,1,CANCELLED,2007,1.158904109589041,0,0,0,0,0,0,1,1,0,0,0,1,0,1,1,0,0,0
A00123,11.918383906389504,13.997832114758229,1,41,1,CANCELLED,2007,1.158904109589041,0,0,0,0,0,1,0,1,0,0,0,1,0,1,1,0,0,0
A00124,11.512925464970229,12.793859310432293,1,40,1,CANCELLED,2007,1.158904109589041,0,0,0,0,0,1,0,1,0,0,0,1,0,1,1,0,0,0
A00125,12.283033686666302,12.429200196716382,1,44,2,INFORCE,2008,5.912328767123288,1,0,0,0,0,0,0,1,0,0,0,1,0,1,1,0,0,0
A00126,12.206072645530174,15.943742263813542,1,49,1,INFORCE,2007,5.923287671232877,0,0,0,0,0,1,0,1,0,0,0,1,0,1,1,0,0,0
A00127,11.512925464970229,13.122347377276329,1,28,0,CANCELLED,2007,0.4054794520547945,1,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,1,0
A00128,11.512925464970229,12.971531185300895,1,43,2,CANCELLED,2007,2.158904109589041,0,0,0,0,0,1,0,1,0,0,0,1,0,1,1,0,0,0
A00129,11.512925464970229,13.304684934198283,1,45,1,INFORCE,2007,5.923287671232877,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,1,0
A00130,11.918390573078392,12.89920982604012,1,28,3,INFORCE,2008,5.912328767123288,0,0,0,1,0,0,0,1,0,0,0,1,0,1,1,0,0,0
A00131,11.512925464970229,12.206092645330177,1,38,0,CANCELLED,2008,1.167123287671233,0,1,0,0,0,0,0,0,1,0,0,1,0,1,1,0,0,0
A00132,11.512925464970229,12.76569986197172,1,21,0,CANCELLED,2007,2.158904109589041,0,0,0,0,0,0,1,0,1,0,0,1,0,1,1,0,0,0
A00133,11.695255021732184,13.122371377372328,1,51,1,INFORCE,2007,5.923287671232877,0,0,0,0,0,1,0,1,0,0,0,1,0,1,0,1,0,0
A00134,12.611537753638338,13.83922317832396,1,43,2,CANCELLED,2007,0.9095890410958904,0,0,0,0,0,1,0,1,0,0,0,1,0,1,0,0,1,0
A00135,13.038981768465275,13.815506557956274,1,56,1,CANCELLED,2008,1.073972602739726,0,0,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,1
A00136,12.429216196844385,13.122371377372328,1,33,1,CANCELLED,2007,1.158904109589041,0,0,0,0,0,0,1,1,0,0,0,1,0,1,1,0,0,0
A00137,11.695255021732184,12.54253059633506,1,29,1,INFORCE,2008,5.912328767123288,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,1,0,0
A00139,11.512925464970229,12.206092645330177,1,26,0,INFORCE,2008,5.898630136986301,0,0,1,0,0,0,0,0,1,0,0,1,0,1,1,0,0,0
A00140,11.532735151065024,14.50865973852222,1,34,3,INFORCE,2008,5.841095890410959,0,0,0,0,0,1,0,1,0,0,0,1,0,1,0,1,0,0
A00141,11.512925464970229,16.11809525095824,1,49,1,CANCELLED,2008,1.1616438356164382,0,1,0,0,0,0,0,1,0,0,0,1,0,1,1,0,0,0
A00142,11.79057265599454,12.691568153543829,1,54,2,INFORCE,2008,5.789041095890411,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0,1,0,0
A00143,11.512925464970229,13.815506557956274,1,39,3,INFORCE,2008,5.884931506849315,0,1,0,0,0,0,0,1,0,0,0,1,0,1,1,0,0,0
A00144,11.51297546372027,12.611537753638338,1,34,2,INFORCE,2008,5.895890410958904,0,0,1,0,0,0,0,1,0,0,1,0,0,1,1,0,0,0
A00145,11.512925464970229,12.793859310432293,1,27,2,CANCELLED,2008,1.167123287671233,0,1,0,0,0,0,0,1,0,0,1,0,0,1,1,0,0,0
A00146,11.512925464970229,13.017002861746503,1,29,2,INFORCE,2008,5.879452054794521,0,0,0,0,0,0,1,1,0,0,0,1,0,1,1,0,0,0
A00147,11.512925464970229,12.345851979058454,1,47,1,INFORCE,2008,5.723287671232876,0,1,0,0,0,0,0,1,0,0,0,1,0,1,1,0,0,0
A00148,11.512925464970229,12.89920982604012,1,45,3,INFORCE,2008,5.882191780821918,0,0,0,0,0,1,0,1,0,0,0,1,0,1,1,0,0,0
A00149,11.51297546372027,13.122371377372328,1,36,1,INFORCE,2008,5.86027397260274,0,0,1,0,0,0,0,1,0,0,0,1,0,1,1,0,0,0
A00150,11.512933464938229,11.918390573078392,1,33,0,CANCELLED,2008,0.3287671232876712,1,0,0,0,0,0,0,0,1,0,0,1,0,1,0,1,0,0
A00151,11.589894283853887,13.304684934198283,1,27,0,INFORCE,2008,5.873972602739726,1,0,0,0,0,0,0,0,1,0,0,1,0,1,0,1,0,0
A00153,12.072541252905651,12.611537753638338,1,25,0,CANCELLED,2008,1.1452054794520548,0,0,0,0,0,0,1,0,1,0,0,1,0,1,1,0,0,0
A00156,11.512925464970229,12.429200196716382,1,36,2,CANCELLED,2008,0.6684931506849315,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1
A00157,11.512925464970229,12.429200196716382,1,28,1,CANCELLED,2008,0.410958904109589,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,1,0
A00158,12.206072645530174,12.429200196716382,1,49,0,CANCELLED,2008,2.1671232876712327,0,0,0,0,0,1,0,0,1,0,0,1,0,1,1,0,0,0
A00159,11.512925464970229,12.611537753638338,1,51,2,INFORCE,2008,5.863013698630137,0,0,0,0,0,1,0,1,0,0,1,0,0,1,1,0,0,0
A00160,11.512925464970229,12.57764999497098,1,39,3,CANCELLED,2008,3.1671232876712327,0,0,0,0,0,1,0,1,0,0,0,1,0,1,1,0,0,0
A00161,11.512925464970229,13.304684934198283,1,44,1,CANCELLED,2008,3.1671232876712327,0,0,0,0,0,1,0,1,0,0,0,1,0,1,1,0,0,0
A00163,11.695247021764184,12.611537753638338,1,56,1,INFORCE,2008,5.841095890410959,0,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0
A00164,11.512925464970229,12.429200196716382,1,56,1,INFORCE,2008,5.786301369863014,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1
A00166,11.512925464970229,13.592372006637564,1,45,3,INFORCE,2008,5.857534246575343,0,0,0,0,0,1,0,1,0,0,1,0,0,1,1,0,0,0
A00167,11.512925464970229,15.137266397946592,1,38,1,INFORCE,2008,5.838356164383562,0,1,0,0,0,0,0,1,0,0,0,1,0,1,1,0,0,0
A00168,12.611541086966117,13.892471599100402,1,45,3,CANCELLED,2008,2.1671232876712327,0,0,0,0,0,1,0,1,0,0,1,0,0,1,1,0,0,0
A00169,12.206072645530174,13.304684934198283,1,43,0,CANCELLED,2008,2.1671232876712327,0,0,0,0,0,1,0,0,1,0,1,0,0,1,1,0,0,0
A00170,11.512925464970229,13.017002861746503,1,28,1,CANCELLED,2008,1.167123287671233,0,0,0,0,0,0,1,1,0,0,0,1,0,1,1,0,0,0
A00171,12.206072645530174,14.403297222866392,1,43,2,INFORCE,2008,5.854794520547945,0,0,0,0,0,1,0,1,0,0,0,1,0,1,1,0,0,0
A00172,12.206072645530174,14.403297222866392,1,43,2,INFORCE,2008,5.854794520547945,0,0,0,0,0,1,0,1,0,0,0,1,0,1,1,0,0,0
A00174,11.746825992009166,11.695247021764184,1,36,1,INFORCE,2008,5.854794520547945,0,0,0,0,0,1,0,1,0,0,0,1,0,1,0,0,1,0
A00175,11.736069016284436,12.834681304952548,1,40,1,CANCELLED,2008,1.167123287671233,0,0,0,0,0,1,0,1,0,0,1,0,0,1,1,0,0,0
A00176,12.206072645530174,13.592372006637564,1,41,3,CANCELLED,2008,1.167123287671233,0,0,0,0,0,1,0,1,0,0,0,1,0,1,1,0,0,0
A00178,11.512925464970229,12.948009990259552,1,26,0,INFORCE,2008,5.846575342465753,0,1,0,0,0,0,0,0,1,0,0,1,0,1,0,0,1,0
A00179,11.55166529328616,12.388394202324127,1,53,2,CANCELLED,2008,1.1616438356164382,0,0,0,0,1,0,0,1,0,0,0,1,0,1,1,0,0,0
A00180,11.533732783473562,12.611537753638338,1,40,3,INFORCE,2008,5.843835616438356,0,0,0,0,0,1,0,1,0,0,0,1,0,1,1,0,0,0
A00182,11.512925464970229,12.611537753638338,0,37,3,CANCELLED,2008,1.1643835616438356,0,0,0,0,0,1,0,1,0,0,0,1,0,1,1,0,0,0
A00183,11.512925464970229,12.89920982604012,1,38,1,CANCELLED,2008,1.167123287671233,1,0,0,0,0,0,0,1,0,0,1,0,0,1,1,0,0,0
A00186,13.458885612775584,16.985195970574463,1,52,3,INFORCE,2008,5.838356164383562,0,0,0,0,0,1,0,1,0,0,0,1,0,1,1,0,0,0
A00187,11.695255021732184,13.017002861746503,1,46,3,INFORCE,2008,5.838356164383562,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,1,0,0
A00188,11.512925464970229,12.611537753638338,1,48,1,CANCELLED,2008,0.410958904109589,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,1,0
A00190,11.695255021732184,12.611537753638338,1,28,0,CANCELLED,2008,0.3260273972602739,1,0,0,0,0,0,0,0,1,0,0,1,0,1,0,1,0,0
A00191,13.815510557964274,15.60727002719233,1,42,2,INFORCE,2008,5.843835616438356,0,0,0,0,0,1,0,1,0,0,0,1,0,1,1,0,0,0
A00192,13.815510557964274,12.611537753638338,1,41,3,INFORCE,2008,5.843835616438356,0,0,0,0,0,1,0,1,0,0,1,0,0,1,1,0,0,0
A00193,13.14412486918584,14.346141161964852,1,30,0,INFORCE,2008,5.838356164383562,1,0,0,0,0,0,0,0,1,0,0,1,0,1,1,0,0,0
A00194,11.512925464970229,12.948009990259552,1,44,1,INFORCE,2008,5.838356164383562,0,0,0,0,0,1,0,1,0,0,0,1,0,1,1,0,0,0
A00196,11.512925464970229,13.710150042306449,1,44,2,CANCELLED,2008,1.1616438356164382,0,0,0,0,0,1,0,1,0,0,1,0,0,1,1,0,0,0
A00197,11.512933464938229,13.122371377372328,1,28,0,INFORCE,2008,5.838356164383562,0,1,0,0,0,0,0,0,1,0,0,1,0,1,0,1,0,0
A00198,11.512925464970229,12.89920982604012,1,43,2,CANCELLED,2008,3.654794520547945,0,0,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,1
A00199,11.918390573078392,13.304684934198283,1,30,3,INFORCE,2008,5.835616438356165,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1
A00201,11.512925464970229,14.73179968983715,1,40,3,INFORCE,2008,5.8273972602739725,1,0,0,0,0,0,0,1,0,0,0,1,0,1,1,0,0,0
A00202,12.203569515312056,12.292268690226743,1,34,1,INFORCE,2008,5.835616438356165,0,0,0,0,0,0,1,1,0,0,0,1,0,1,1,0,0,0
A00203,11.512925464970229,14.845128546572983,1,33,3,INFORCE,2008,5.835616438356165,0,0,0,0,0,0,1,1,0,0,0,1,0,1,0,0,0,1
A00204,11.512925464970229,12.793859310432293,1,36,2,INFORCE,2008,5.835616438356165,0,0,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,1
A00205,11.736069016284436,12.948009990259552,1,21,0,INFORCE,2008,5.8273972602739725,0,0,0,0,0,0,1,0,1,0,0,1,0,1,1,0,0,0
A00206,11.512925464970229,13.017002861746503,1,44,3,CANCELLED,2008,3.1671232876712327,0,0,0,0,0,1,0,1,0,0,1,0,0,1,1,0,0,0
A00207,11.512925464970229,12.100712129872347,0,43,2,CANCELLED,2008,1.167123287671233,1,0,0,0,0,0,0,1,0,0,0,1,0,1,1,0,0,0
A00208,12.206072645530174,13.304684934198283,1,40,2,INFORCE,2008,5.8191780821917805,0,0,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,1
A00209,11.512925464970229,12.611537753638338,1,28,1,CANCELLED,2008,0.663013698630137,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1
A00210,11.512925464970229,13.122371377372328,1,51,2,INFORCE,2008,5.780821917808219,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,1,0
A00211,11.512933464938229,13.122371377372328,1,27,0,INFORCE,2008,5.808219178082192,1,0,0,0,0,0,0,0,1,0,0,1,0,1,0,1,0,0
A00212,11.589894283853887,13.304684934198283,1,29,3,INFORCE,2008,5.816438356164384,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,1,0,0
A00213,11.77528972943772,13.122371377372328,1,49,1,INFORCE,2008,5.780821917808219,0,1,0,0,0,0,0,1,0,0,0,1,0,1,1,0,0,0
A00214,11.695255021732184,12.89920982604012,1,54,2,INFORCE,2008,5.816438356164384,0,0,0,0,0,1,0,1,0,0,0,1,0,1,0,1,0,0
A00215,11.512925464970229,12.76569986197172,1,39,3,CANCELLED,2008,3.1616438356164385,0,1,0,0,0,0,0,1,0,0,0,1,0,1,1,0,0,0
A00216,11.512925464970229,12.429200196716382,1,42,1,INFORCE,2008,5.7835616438356166,0,1,0,0,0,0,0,1,0,0,1,0,0,1,1,0,0,0
A00218,12.429216196844385,13.122371377372328,1,40,2,INFORCE,2008,5.802739726027397,0,0,0,0,0,1,0,1,0,0,0,1,0,1,1,0,0,0
A00219,11.512925464970229,12.52454092199747,1,44,3,INFORCE,2008,5.786301369863014,0,0,0,0,0,1,0,1,0,0,0,1,0,1,1,0,0,0
