id,term_years,log_annual_fees,marital_status,gender,log_annual_income,occupation_cd,package,age_at_issue,additional_members,payment_mode,status,start_year,duration
A00050,12,11.512925464970229,M,M,12.899209826040119,1,TYPE-B,33,1,ANNUAL,INFORCE,2007,6.161643835616438
A00051,12,11.918390573078392,M,M,13.895544650216083,1,TYPE-B,47,3,ANNUAL,INFORCE,2007,6.1808219178082195
A00052,17,11.512925464970229,S,M,14.403297222866392,1,TYPE-B,42,0,SEMI-ANNUAL,INFORCE,2007,6.164383561643835
A00053,<50,11.512925464970229,M,M,13.815506557956274,1,TYPE-B,38,3,SEMI-ANNUAL,CANCELLED,2007,3.665753424657534
A00055,12,12.206072645530174,S,M,13.597354548161103,1,TYPE-B,28,0,ANNUAL,INFORCE,2007,6.1808219178082195
A00056,17,11.695246021763683,M,M,12.611537753638338,1,TYPE-B,56,3,MONTHLY,INFORCE,2007,6.027397260273973
A00057,12,11.512925464970229,S,M,12.899209826040119,0,TYPE-B,28,0,ANNUAL,CANCELLED,2007,1.167123287671233
A00058,12,11.512925464970229,M,F,,0,TYPE-B,37,3,ANNUAL,INFORCE,2007,6.134246575342465
A00059,17,11.512925464970229,M,M,14.557447902693651,0,TYPE-B,57,3,ANNUAL,INFORCE,2007,6.090410958904109
A00060,<50,12.100720129840347,M,M,12.847937057962957,1,TYPE-B,39,2,MONTHLY,INFORCE,2007,6.090410958904109
A00062,17,11.512925464970229,M,M,13.815506557956274,1,TYPE-B,34,1,ANNUAL,INFORCE,2007,6.090410958904109
A00064,27,11.512925464970229,M,M,13.527988472713858,1,TYPE-B,37,2,ANNUAL,INFORCE,2007,6.093150684931507
A00065,12,12.206072645530174,M,F,,0,TYPE-B,53,1,ANNUAL,CANCELLED,2007,1.167123287671233
A00066,17,11.512925464970229,M,M,13.527828485512494,1,TYPE-B,44,1,ANNUAL,INFORCE,2007,6.090410958904109
A00067,12,11.512925464970229,M,M,12.899209826040119,1,TYPE-B,34,3,QUARTERLY,INFORCE,2007,6.076712328767123
A00068,12,11.695255021732184,S,M,13.025843666411985,1,TYPE-B,25,0,MONTHLY,INFORCE,2007,6.090410958904109
A00069,17,11.512925464970229,M,M,11.590219783896478,1,TYPE-B,34,2,ANNUAL,CANCELLED,2007,3.1671232876712327
A00070,17,12.206072645530174,M,M,13.304684934198283,1,TYPE-B,43,1,ANNUAL,CANCELLED,2007,1.167123287671233
A00071,17,11.736069016284437,M,M,13.815506557956274,1,TYPE-B,48,3,ANNUAL,INFORCE,2007,6.052054794520548
A00073,<50,11.546118432325992,S,M,14.73179968983715,1,TYPE-B,28,0,ANNUAL,INFORCE,2007,6.016438356164383
A00074,12,11.918390573078392,S,M,12.611537753638338,0,TYPE-B,23,0,ANNUAL,INFORCE,2007,6.010958904109589
A00075,12,11.512925464970229,M,M,12.14740485786433,1,TYPE-B,45,2,ANNUAL,INFORCE,2007,6.035616438356165
A00076,17,11.552136178073509,M,M,15.096444403426338,0,TYPE-B,57,2,ANNUAL,CANCELLED,2008,3.1671232876712327
A00077,17,13.304684734198263,M,F,,0,TYPE-B,53,2,MONTHLY,INFORCE,2007,6.016438356164383
A00078,17,12.43320821811392,M,M,12.793859310432293,1,TYPE-B,34,2,ANNUAL,CANCELLED,2007,2.164383561643836
A00081,17,12.206072645530174,M,F,13.038973072775297,1,TYPE-B,56,2,ANNUAL,CANCELLED,2007,3.1671232876712327
A00082,12,12.211060187041213,M,M,,0,TYPE-B,51,1,ANNUAL,CANCELLED,2007,2.1616438356164385
A00083,27,11.512925464970229,M,M,12.899209826040119,1,TYPE-B,38,3,SEMI-ANNUAL,INFORCE,2007,6.008219178082192
A00084,12,11.918390573078392,M,M,13.017002861746503,1,TYPE-B,30,3,ANNUAL,INFORCE,2007,6.013698630136986
A00086,27,11.512925464970229,S,M,12.388394202324129,1,TYPE-B,25,0,SEMI-ANNUAL,CANCELLED,2007,2.6575342465753424
A00087,12,11.736069016284437,M,M,13.122371377372328,0,TYPE-B,37,3,ANNUAL,CANCELLED,2007,1.1616438356164382
A00090,17,11.512925464970229,M,F,,0,TYPE-B,35,1,ANNUAL,CANCELLED,2007,1.158904109589041
A00091,17,11.512925464970229,M,M,13.304684934198283,1,TYPE-B,50,3,ANNUAL,INFORCE,2007,5.923287671232877
A00094,17,11.512925464970229,M,M,12.691568153543827,1,TYPE-B,57,2,ANNUAL,CANCELLED,2007,1.158904109589041
A00095,27,11.512925464970229,M,M,14.038657309273363,0,TYPE-B,36,1,ANNUAL,CANCELLED,2007,1.167123287671233
A00098,12,11.695246021763683,S,M,13.017002861746503,1,TYPE-B,24,0,MONTHLY,CANCELLED,2007,0.3287671232876712
A00099,12,11.56171562913966,S,M,13.304684934198283,1,TYPE-B,26,0,SEMI-ANNUAL,INFORCE,2007,5.956164383561644
A00100,17,11.512925464970229,M,F,11.918390573078392,1,TYPE-B,55,2,SEMI-ANNUAL,INFORCE,2007,5.923287671232877
A00101,12,13.864300722133706,M,M,14.48333993053993,1,TYPE-B,45,1,ANNUAL,CANCELLED,2007,1.158904109589041
A00102,17,13.017002861746503,M,M,14.48333993053993,1,TYPE-B,45,1,ANNUAL,CANCELLED,2007,1.158904109589041
A00103,12,11.918390573078392,S,F,12.691568153543827,1,TYPE-B,43,0,ANNUAL,CANCELLED,2007,1.158904109589041
A00105,12,11.512925464970229,M,F,11.73610101577245,1,TYPE-B,47,3,ANNUAL,INFORCE,2007,5.923287671232877
A00107,27,11.512925464970229,M,M,14.018232602515907,1,TYPE-B,33,1,SEMI-ANNUAL,INFORCE,2007,5.923287671232877
A00108,17,11.522875795823397,S,M,13.815506557956274,0,TYPE-B,22,0,ANNUAL,INFORCE,2007,5.934246575342466
A00109,12,11.512925464970229,M,M,12.899209826040119,1,TYPE-B,25,3,ANNUAL,INFORCE,2007,5.934246575342466
A00110,17,11.512925464970229,M,M,12.899209826040119,1,TYPE-B,36,2,ANNUAL,INFORCE,2007,5.934246575342466
A00112,17,11.512933464938229,S,F,,0,TYPE-B,20,0,MONTHLY,INFORCE,2007,5.923287671232877
A00114,>50,12.206062645480174,M,M,13.304684934198283,1,TYPE-B,34,2,SEMI-ANNUAL,INFORCE,2007,5.923287671232877
A00115,<50,11.512925464970229,M,M,13.4588298997235,1,TYPE-B,43,2,ANNUAL,INFORCE,2007,5.923287671232877
A00117,17,11.512925464970229,S,M,13.710150042306449,1,TYPE-B,25,0,ANNUAL,INFORCE,2007,5.923287671232877
A00118,12,11.918390573078392,S,F,12.206092645330177,1,TYPE-B,27,0,SEMI-ANNUAL,INFORCE,2007,5.923287671232877
A00119,17,11.512925464970229,M,M,15.662464402459484,0,TYPE-B,57,2,ANNUAL,CANCELLED,2008,3.1671232876712327
A00120,32,12.206072645530174,S,F,14.50865973852222,1,TYPE-B,52,0,ANNUAL,INFORCE,2007,5.923287671232877
A00121,>50,11.522875795823397,M,M,13.081541382884074,1,TYPE-B,29,1,ANNUAL,CANCELLED,2007,1.158904109589041
A00123,<50,11.918383906389504,M,M,13.997832114758229,1,TYPE-B,41,1,ANNUAL,CANCELLED,2007,1.158904109589041
A00124,<50,11.512925464970229,M,M,12.793859310432293,1,TYPE-B,40,1,ANNUAL,CANCELLED,2007,1.158904109589041
A00125,12,12.283033686666302,M,M,12.429200196716382,1,TYPE-B,44,2,ANNUAL,INFORCE,2008,5.912328767123288
A00126,<50,12.206072645530174,M,M,15.943742263813542,1,TYPE-B,49,1,ANNUAL,INFORCE,2007,5.923287671232877
A00127,12,11.512925464970229,S,M,13.122347377276327,1,TYPE-B,28,0,QUARTERLY,CANCELLED,2007,0.4054794520547945
A00128,<50,11.512925464970229,M,M,12.971531185300897,1,TYPE-B,43,2,ANNUAL,CANCELLED,2007,2.158904109589041
A00129,12,11.512925464970229,M,M,13.304684934198283,1,TYPE-B,45,1,QUARTERLY,INFORCE,2007,5.923287671232877
A00130,27,11.918390573078392,M,M,12.899209826040119,1,TYPE-B,28,3,ANNUAL,INFORCE,2008,5.912328767123288
A00131,17,11.512925464970229,S,M,12.206092645330177,1,TYPE-B,38,0,ANNUAL,CANCELLED,2008,1.167123287671233
A00132,>50,11.512925464970229,S,M,12.765699861971719,1,TYPE-B,21,0,ANNUAL,CANCELLED,2007,2.158904109589041
A00133,<50,11.695255021732184,M,M,13.122371377372328,1,TYPE-B,51,1,MONTHLY,INFORCE,2007,5.923287671232877
A00134,<50,12.611537753638338,M,M,13.83922317832396,1,TYPE-B,43,2,QUARTERLY,CANCELLED,2007,0.9095890410958904
A00135,<50,13.038981768465277,M,M,13.815506557956274,1,TYPE-B,56,1,SEMI-ANNUAL,CANCELLED,2008,1.073972602739726
A00136,>50,12.429216196844383,M,M,13.122371377372328,1,TYPE-B,33,1,ANNUAL,CANCELLED,2007,1.158904109589041
A00137,12,11.695255021732184,M,F,12.542530596335059,1,TYPE-B,29,1,MONTHLY,INFORCE,2008,5.912328767123288
A00138,17,11.512925464970229,M,F,,0,TYPE-B,38,1,ANNUAL,CANCELLED,2008,3.164383561643836
A00139,22,11.512925464970229,S,M,12.206092645330177,1,TYPE-B,26,0,ANNUAL,INFORCE,2008,5.898630136986301
A00140,<50,11.532735151065024,M,M,14.50865973852222,1,TYPE-B,34,3,MONTHLY,INFORCE,2008,5.841095890410959
A00141,17,11.512925464970229,M,M,16.11809525095824,1,TYPE-B,49,1,ANNUAL,CANCELLED,2008,1.1616438356164382
A00142,17,11.790572655994541,M,M,12.691568153543827,1,TYPE-B,54,2,MONTHLY,INFORCE,2008,5.789041095890411
A00143,17,11.512925464970229,M,M,13.815506557956274,1,TYPE-B,39,3,ANNUAL,INFORCE,2008,5.884931506849315
A00144,22,11.51297546372027,M,F,12.611537753638338,1,TYPE-B,34,2,ANNUAL,INFORCE,2008,5.895890410958904
A00145,17,11.512925464970229,M,F,12.793859310432293,1,TYPE-B,27,2,ANNUAL,CANCELLED,2008,1.167123287671233
A00146,>50,11.512925464970229,M,M,13.017002861746503,1,TYPE-B,29,2,ANNUAL,INFORCE,2008,5.879452054794521
A00147,17,11.512925464970229,M,M,12.345851979058454,1,TYPE-B,47,1,ANNUAL,INFORCE,2008,5.723287671232876
A00148,<50,11.512925464970229,M,M,12.899209826040119,1,TYPE-B,45,3,ANNUAL,INFORCE,2008,5.882191780821918
A00149,22,11.51297546372027,M,M,13.122371377372328,1,TYPE-B,36,1,ANNUAL,INFORCE,2008,5.86027397260274
A00150,12,11.512933464938229,S,M,11.918390573078392,1,TYPE-B,33,0,MONTHLY,CANCELLED,2008,0.3287671232876712
A00151,12,11.589894283853887,S,M,13.304684934198283,1,TYPE-B,27,0,MONTHLY,INFORCE,2008,5.873972602739726
A00153,>50,12.072541252905651,S,M,12.611537753638338,1,TYPE-B,25,0,ANNUAL,CANCELLED,2008,1.1452054794520548
A00156,17,11.512925464970229,M,M,12.429200196716382,1,TYPE-B,36,2,SEMI-ANNUAL,CANCELLED,2008,0.6684931506849315
A00157,12,11.512925464970229,M,M,12.429200196716382,1,TYPE-B,28,1,QUARTERLY,CANCELLED,2008,0.410958904109589
A00158,<50,12.206072645530174,S,M,12.429200196716382,1,TYPE-B,49,0,ANNUAL,CANCELLED,2008,2.1671232876712327
A00159,<50,11.512925464970229,M,F,12.611537753638338,1,TYPE-B,51,2,ANNUAL,INFORCE,2008,5.863013698630137
A00160,<50,11.512925464970229,M,M,12.577649994970981,1,TYPE-B,39,3,ANNUAL,CANCELLED,2008,3.1671232876712327
A00161,<50,11.512925464970229,M,M,13.304684934198283,1,TYPE-B,44,1,ANNUAL,CANCELLED,2008,3.1671232876712327
A00162,17,11.512925464970229,M,F,,0,TYPE-B,50,2,SEMI-ANNUAL,INFORCE,2008,5.747945205479452
A00163,<50,11.695247021764184,M,F,12.611537753638338,1,TYPE-B,56,1,QUARTERLY,INFORCE,2008,5.841095890410959
A00164,17,11.512925464970229,M,M,12.429200196716382,1,TYPE-B,56,1,SEMI-ANNUAL,INFORCE,2008,5.786301369863014
A00166,<50,11.512925464970229,M,F,13.592372006637564,1,TYPE-B,45,3,ANNUAL,INFORCE,2008,5.857534246575343
A00167,17,11.512925464970229,M,M,15.137266397946593,1,TYPE-B,38,1,ANNUAL,INFORCE,2008,5.838356164383562
A00168,<50,12.611541086966115,M,F,13.892471599100402,1,TYPE-B,45,3,ANNUAL,CANCELLED,2008,2.1671232876712327
A00169,<50,12.206072645530174,S,F,13.304684934198283,1,TYPE-B,43,0,ANNUAL,CANCELLED,2008,2.1671232876712327
A00170,>50,11.512925464970229,M,M,13.017002861746503,1,TYPE-B,28,1,ANNUAL,CANCELLED,2008,1.167123287671233
A00171,<50,12.206072645530174,M,M,14.403297222866392,1,TYPE-B,43,2,ANNUAL,INFORCE,2008,5.854794520547945
A00172,<50,12.206072645530174,M,M,14.403297222866392,1,TYPE-B,43,2,ANNUAL,INFORCE,2008,5.854794520547945
A00173,12,11.512925464970229,M,F,,0,TYPE-B,38,2,ANNUAL,INFORCE,2008,5.854794520547945
A00174,<50,11.746825992009166,M,M,11.695247021764184,1,TYPE-B,36,1,QUARTERLY,INFORCE,2008,5.854794520547945
A00175,<50,11.736069016284437,M,F,12.834681304952548,1,TYPE-B,40,1,ANNUAL,CANCELLED,2008,1.167123287671233
A00176,<50,12.206072645530174,M,M,13.592372006637564,1,TYPE-B,41,3,ANNUAL,CANCELLED,2008,1.167123287671233
A00177,12,11.512925464970229,M,M,,0,TYPE-B,61,3,ANNUAL,INFORCE,2008,5.780821917808219
A00178,17,11.512925464970229,S,M,12.948009990259552,1,TYPE-B,26,0,QUARTERLY,INFORCE,2008,5.846575342465753
A00179,32,11.55166529328616,M,M,12.388394202324129,1,TYPE-B,53,2,ANNUAL,CANCELLED,2008,1.1616438356164382
A00180,<50,11.533732783473562,M,M,12.611537753638338,1,TYPE-B,40,3,ANNUAL,INFORCE,2008,5.843835616438356
A00181,17,11.512925464970229,M,F,,0,TYPE-B,24,3,ANNUAL,INFORCE,2008,5.808219178082192
A00182,<50,11.512925464970229,M,M,12.611537753638338,0,TYPE-B,37,3,ANNUAL,CANCELLED,2008,1.1643835616438356
A00183,12,11.512925464970229,M,F,12.899209826040119,1,TYPE-B,38,1,ANNUAL,CANCELLED,2008,1.167123287671233
A00184,12,11.695248021763684,M,F,,0,TYPE-B,41,2,MONTHLY,INFORCE,2008,5.838356164383562
A00185,22,11.512925464970229,M,F,,0,TYPE-B,35,2,SEMI-ANNUAL,CANCELLED,2008,0.547945205479452
A00186,<50,13.458885612775584,M,M,16.985195970574463,1,TYPE-B,52,3,ANNUAL,INFORCE,2008,5.838356164383562
A00187,12,11.695255021732184,M,M,13.017002861746503,1,TYPE-B,46,3,MONTHLY,INFORCE,2008,5.838356164383562
A00188,12,11.512925464970229,M,M,12.611537753638338,1,TYPE-B,48,1,QUARTERLY,CANCELLED,2008,0.410958904109589
A00190,12,11.695255021732184,S,M,12.611537753638338,1,TYPE-B,28,0,MONTHLY,CANCELLED,2008,0.32602739726027397
A00191,<50,13.815510557964274,M,M,15.60727002719233,1,TYPE-B,42,2,ANNUAL,INFORCE,2008,5.843835616438356
A00192,<50,13.815510557964274,M,F,12.611537753638338,1,TYPE-B,41,3,ANNUAL,INFORCE,2008,5.843835616438356
A00193,12,13.144124869185841,S,M,14.346141161964853,1,TYPE-B,30,0,ANNUAL,INFORCE,2008,5.838356164383562
A00194,<50,11.512925464970229,M,M,12.948009990259552,1,TYPE-B,44,1,ANNUAL,INFORCE,2008,5.838356164383562
A00196,<50,11.512925464970229,M,F,13.710150042306449,1,TYPE-B,44,2,ANNUAL,CANCELLED,2008,1.1616438356164382
A00197,17,11.512933464938229,S,M,13.122371377372328,1,TYPE-B,28,0,MONTHLY,INFORCE,2008,5.838356164383562
A00198,<50,11.512925464970229,M,M,12.899209826040119,1,TYPE-B,43,2,SEMI-ANNUAL,CANCELLED,2008,3.654794520547945
A00199,12,11.918390573078392,M,M,13.304684934198283,1,TYPE-B,30,3,SEMI-ANNUAL,INFORCE,2008,5.835616438356165
A00201,12,11.512925464970229,M,M,14.73179968983715,1,TYPE-B,40,3,ANNUAL,INFORCE,2008,5.8273972602739725
A00202,>50,12.203569515312056,M,M,12.292268690226745,1,TYPE-B,34,1,ANNUAL,INFORCE,2008,5.835616438356165
A00203,>50,11.512925464970229,M,M,14.845128546572983,1,TYPE-B,33,3,SEMI-ANNUAL,INFORCE,2008,5.835616438356165
A00204,<50,11.512925464970229,M,M,12.793859310432293,1,TYPE-B,36,2,SEMI-ANNUAL,INFORCE,2008,5.835616438356165
A00205,>50,11.736069016284437,S,M,12.948009990259552,1,TYPE-B,21,0,ANNUAL,INFORCE,2008,5.8273972602739725
A00206,<50,11.512925464970229,M,F,13.017002861746503,1,TYPE-B,44,3,ANNUAL,CANCELLED,2008,3.1671232876712327
A00207,12,11.512925464970229,M,M,12.100712129872347,0,TYPE-B,43,2,ANNUAL,CANCELLED,2008,1.167123287671233
A00208,<50,12.206072645530174,M,M,13.304684934198283,1,TYPE-B,40,2,SEMI-ANNUAL,INFORCE,2008,5.8191780821917805
A00209,12,11.512925464970229,M,M,12.611537753638338,1,TYPE-B,28,1,SEMI-ANNUAL,CANCELLED,2008,0.663013698630137
A00210,17,11.512925464970229,M,M,13.122371377372328,1,TYPE-B,51,2,QUARTERLY,INFORCE,2008,5.780821917808219
A00211,12,11.512933464938229,S,M,13.122371377372328,1,TYPE-B,27,0,MONTHLY,INFORCE,2008,5.808219178082192
A00212,12,11.589894283853887,M,M,13.304684934198283,1,TYPE-B,29,3,MONTHLY,INFORCE,2008,5.816438356164384
A00213,17,11.77528972943772,M,M,13.122371377372328,1,TYPE-B,49,1,ANNUAL,INFORCE,2008,5.780821917808219
A00214,<50,11.695255021732184,M,M,12.899209826040119,1,TYPE-B,54,2,MONTHLY,INFORCE,2008,5.816438356164384
A00215,17,11.512925464970229,M,M,12.765699861971719,1,TYPE-B,39,3,ANNUAL,CANCELLED,2008,3.1616438356164385
A00216,17,11.512925464970229,M,F,12.429200196716382,1,TYPE-B,42,1,ANNUAL,INFORCE,2008,5.7835616438356166
A00218,<50,12.429216196844383,M,M,13.122371377372328,1,TYPE-B,40,2,ANNUAL,INFORCE,2008,5.802739726027397
A00219,<50,11.512925464970229,M,M,12.52454092199747,1,TYPE-B,44,3,ANNUAL,INFORCE,2008,5.786301369863014
A00220,>50,12.388402202292129,S,M,13.592372006637564,1,TYPE-B,27,0,MONTHLY,CANCELLED,2008,1.915068493150685
A00221,32,11.512925464970229,M,M,13.304684934198283,1,TYPE-B,53,2,ANNUAL,INFORCE,2008,5.802739726027397
A00222,12,11.512925464970229,S,M,12.899209826040119,1,TYPE-B,24,0,ANNUAL,INFORCE,2008,5.8054794520547945
A00223,12,12.206072645530174,S,M,13.815506557956274,1,TYPE-B,33,0,QUARTERLY,CANCELLED,2008,0.915068493150685
A00224,12,11.512925464970229,S,M,12.429200196716382,1,TYPE-B,26,0,SEMI-ANNUAL,INFORCE,2008,5.8
A00225,17,11.512925464970229,M,F,,0,TYPE-B,25,1,QUARTERLY,INFORCE,2008,5.758904109589041
A00226,17,11.877567745224457,M,M,12.765699861971719,1,TYPE-B,57,2,MONTHLY,CANCELLED,2008,0.663013698630137
A00227,<50,12.388394202324129,M,M,13.304684934198283,1,TYPE-B,46,3,MONTHLY,INFORCE,2008,5.7972602739726025
A00228,>50,11.532736327526615,M,M,13.122371377372328,1,TYPE-B,30,3,MONTHLY,CANCELLED,2008,0.3287671232876712
A00229,<50,12.206072645530174,M,F,13.652986922573074,1,TYPE-B,56,1,ANNUAL,INFORCE,2008,5.7972602739726025
A00231,12,11.512925464970229,M,M,,0,TYPE-B,58,3,ANNUAL,INFORCE,2008,5.76986301369863
A00232,<50,11.512925464970229,M,M,12.899209826040119,1,TYPE-B,50,1,ANNUAL,INFORCE,2008,5.758904109589041
A00233,<50,11.512925464970229,M,M,12.899209826040119,1,TYPE-B,50,3,ANNUAL,INFORCE,2008,5.789041095890411
A00234,>50,11.918390573078392,M,M,13.487006490992238,1,TYPE-B,35,3,ANNUAL,INFORCE,2008,5.786301369863014
A00235,27,12.206080645498174,M,M,15.319587954740548,1,TYPE-B,45,1,MONTHLY,INFORCE,2008,5.764383561643836
A00236,12,11.918398573046392,M,M,12.847937057962957,1,TYPE-B,42,1,MONTHLY,CANCELLED,2008,0.3287671232876712
A00237,12,11.512925464970229,M,M,12.04357724516735,0,TYPE-B,46,3,ANNUAL,INFORCE,2008,5.7835616438356166
A00238,12,11.512925464970229,M,F,,0,TYPE-B,35,2,ANNUAL,INFORCE,2008,5.786301369863014
A00240,12,11.512925464970229,M,M,12.971531185300897,1,TYPE-B,41,1,ANNUAL,INFORCE,2008,5.7835616438356166
A00241,>50,12.206052645330171,S,M,13.4588298997235,1,TYPE-B,34,0,QUARTERLY,CANCELLED,2008,0.410958904109589
A00242,<50,11.512925464970229,M,M,13.122371377372328,1,TYPE-B,56,1,ANNUAL,INFORCE,2008,5.780821917808219
A00243,17,11.512925464970229,M,M,12.429200196716382,1,TYPE-B,56,2,SEMI-ANNUAL,INFORCE,2008,5.778082191780822
A00245,12,11.512925464970229,M,F,12.206092645330177,1,TYPE-B,37,1,SEMI-ANNUAL,INFORCE,2008,5.76986301369863
A00246,<50,11.512925464970229,S,F,12.793859310432293,1,TYPE-B,48,0,ANNUAL,INFORCE,2008,5.76986301369863
A00248,27,11.512925464970229,M,M,12.847937057962957,1,TYPE-B,28,1,ANNUAL,CANCELLED,2008,3.164383561643836
A00249,17,12.206072645530174,M,M,14.50865973852222,1,TYPE-B,33,2,ANNUAL,INFORCE,2008,5.5917808219178085
A00250,>50,11.512933464938229,S,M,11.918390573078392,1,TYPE-B,26,0,MONTHLY,INFORCE,2008,5.764383561643836
A00251,>50,11.695255021732184,S,F,12.948009990259552,1,TYPE-B,19,0,MONTHLY,INFORCE,2008,5.767123287671233
A00252,17,11.512925464970229,M,M,12.834681304952548,1,TYPE-B,35,3,QUARTERLY,INFORCE,2008,5.764383561643836
A00253,17,11.522875795823397,S,M,12.793859310432293,1,TYPE-B,28,0,ANNUAL,INFORCE,2008,5.767123287671233
A00254,27,12.206072645530174,M,M,13.122371377372328,1,TYPE-B,36,3,SEMI-ANNUAL,INFORCE,2008,5.758904109589041
